,INCIDENTNEIGHBORHOOD
0,Bloomfield
1,Outside City
2,Westwood
3,East Allegheny
4,Crafton Heights
5,Greenfield
6,Brookline
7,Regent Square
8,East Liberty
9,
10,East Hills
11,Carrick
12,East Allegheny
13,Crafton Heights
14,East Allegheny
15,Allegheny Center
16,East Allegheny
17,South Side Flats
18,Brookline
19,Sheraden
20,South Side Flats
21,East Carnegie
22,Golden Triangle/Civic Arena
23,South Side Flats
24,Point Breeze North
25,Perry South
26,South Side Flats
27,Allentown
28,Allentown
29,Golden Triangle/Civic Arena
30,North Shore
31,Marshall-Shadeland
32,Central Oakland
33,Middle Hill
34,South Side Flats
35,Strip District
36,Allegheny Center
37,Lincoln-Lemington-Belmar
38,Central Northside
39,Troy Hill-Herrs Island
40,South Side Flats
41,Highland Park
42,
43,Perry South
44,Homewood North
45,Northview Heights
46,Central Oakland
47,Brighton Heights
48,Bloomfield
49,Hazelwood
50,Perry North
51,Homewood North
52,Bedford Dwellings
53,Sheraden
54,East Liberty
55,Elliott
56,Beechview
57,East Hills
58,Golden Triangle/Civic Arena
59,East Allegheny
60,Fineview
61,Carrick
62,Glen Hazel
63,Glen Hazel
64,Spring Hill-City View
65,
66,Central Oakland
67,Sheraden
68,Fineview
69,Marshall-Shadeland
70,Golden Triangle/Civic Arena
71,Elliott
72,East Allegheny
73,Central Northside
74,Central Northside
75,East Liberty
76,Bluff
77,Carrick
78,South Side Flats
79,Beechview
80,Manchester
81,East Hills
82,Homewood West
83,Outside County
84,Brookline
85,Carrick
86,Point Breeze
87,Golden Triangle/Civic Arena
88,South Side Flats
89,South Side Flats
90,Homewood West
91,Carrick
92,East Allegheny
93,Homewood North
94,Beechview
95,Homewood South
96,Squirrel Hill South
97,Northview Heights
98,Terrace Village
99,Spring Hill-City View
100,Homewood North
101,Homewood North
102,Homewood North
103,Crafton Heights
104,Strip District
105,Bloomfield
106,Homewood West
107,Homewood West
108,Lincoln-Lemington-Belmar
109,Bloomfield
110,Upper Lawrenceville
111,Arlington
112,East Allegheny
113,South Side Slopes
114,Bluff
115,Middle Hill
116,Crafton Heights
117,Homewood South
118,Marshall-Shadeland
119,South Side Flats
120,Lower Lawrenceville
121,Garfield
122,Brookline
123,Homewood North
124,Sheraden
125,Homewood South
126,Brookline
127,Lincoln Place
128,Brookline
129,Elliott
130,Elliott
131,Allegheny Center
132,North Shore
133,Carrick
134,South Side Flats
135,South Side Flats
136,North Shore
137,Golden Triangle/Civic Arena
138,Point Breeze North
139,Larimer
140,Marshall-Shadeland
141,Beechview
142,Bedford Dwellings
143,Westwood
144,South Side Flats
145,Brookline
146,Fineview
147,Northview Heights
148,Mount Washington
149,California-Kirkbride
150,East Allegheny
151,Central Oakland
152,Golden Triangle/Civic Arena
153,Bloomfield
154,Banksville
155,Bon Air
156,North Shore
157,Bluff
158,Golden Triangle/Civic Arena
159,Homewood North
160,Glen Hazel
161,Golden Triangle/Civic Arena
162,South Shore
163,Bedford Dwellings
164,Hazelwood
165,Crafton Heights
166,Sheraden
167,Upper Lawrenceville
168,South Side Flats
169,Allentown
170,Homewood South
171,Fineview
172,Lincoln-Lemington-Belmar
173,Highland Park
174,South Side Slopes
175,East Liberty
176,Carrick
177,Northview Heights
178,Mount Washington
179,Bloomfield
180,South Side Flats
181,Bon Air
182,Central Oakland
183,Beltzhoover
184,Golden Triangle/Civic Arena
185,Strip District
186,Sheraden
187,Knoxville
188,North Shore
189,Sheraden
190,
191,Carrick
192,Bloomfield
193,Squirrel Hill South
194,Middle Hill
195,Greenfield
196,Elliott
197,East Allegheny
198,Bluff
199,South Side Flats
200,Lincoln-Lemington-Belmar
201,East Allegheny
202,South Side Flats
203,Chateau
204,Golden Triangle/Civic Arena
205,East Liberty
206,Homewood North
207,Crawford-Roberts
