Neighborhood ,Number of Arrest,,,,,
Allegheny Center ,1014,,,,,
Arlington. ,372,,,,,
Bedford Dwellings ,529,,,,,
Bloomfield ,837,,,,,
Brighton Heights ,921,,,,,
Carrick ,1960,,,,,
Central Oakland ,440,,,,,
Crafton Heights ,480,,,,,
Duquesne Heights ,168,,,,,
East Hills ,952,,,,,
Esplen ,0,,,,,
Friendship ,143,,,,,
Greenfield ,441,,,,,
Highland Park ,483,,,,,
Homewood West ,661,,,,,
Lincoln-Lemington-Belmar ,1057,,,,,
Manchester ,420,,,,,
Morningside ,168,,,,,
New Homestead ,35,,,,,
Northview Heights ,595,,,,,
Perry North ,532,,,,,
Point Breeze North ,232,,,,,
Ridgemont ,29,,,,,
South Oakland ,294,,,,,
South Side Slopes ,677,,,,,
Squirrel Hill North ,224,,,,,
Stanton Heights ,187,,,,,
Swisshelm Park ,33,,,,,
Upper Hill ,309,,,,,
West Oakland ,256,,,,,
Allegheny Center ,1014,,,,,
Allegheny West,109,,,,,
Arlington Heights ,122,,,,,
Beechview ,1030,,,,,
Bluff ,1219,,,,,
Brookline ,1111,,,,,
Central Lawrenceville ,377,,,,,
Chartiers City ,35,,,,,
Crawford-Roberts ,685,,,,,
East Allegheny ,1773,,,,,
East Liberty ,1533,,,,,
Fairywood ,100,,,,,
Garfield ,582,,,,,
Hays ,94,,,,,
Homewood North ,1647,,,,,
Knoxville ,1122,,,,,
Lincoln Place ,174,,,,,
Marshall-Shadeland ,1255,,,,,
Mount Oliver ,108,,,,,
North Oakland ,359,,,,,
Oakwood ,69,,,,,
Perry South ,892,,,,,
Polish Hill ,137,,,,,
Shadyside ,814,,,,,
South Shore ,248,,,,,
Spring Garden ,196,,,,,
Squirrel Hill South ,667,,,,,
Strip District ,416,,,,,
Terrace Village ,227,,,,,
Upper Lawrenceville ,161,,,,,
West Wood ,0,,,,,
Allentown ,802,,,,,
Banksville ,243,,,,,
Beltzhoover ,435,,,,,
Bon Air ,217,,,,,
California Kirkbride ,0,,,,,
Central North Side ,716,,,,,
Chateau ,361,,,,,
Downtown ,0,,,,,
East Carnegie ,44,,,,,
Elliott ,545,,,,,
Fineview ,727,,,,,
Glen Hazel ,136,,,,,
Hazelwood ,1116,,,,,
Homewood South ,1744,,,,,
Larimer ,706,,,,,
Lower Lawrenceville ,215,,,,,
Middle Hill ,789,,,,,
Mount Washington ,1188,,,,,
North Shore ,657,,,,,
Overbrook ,262,,,,,
Point Breeze ,507,,,,,
Regent Square ,28,,,,,
Sheraden ,1065,,,,,
South Side Flats ,2843,,,,,
Spring Hill-City View,606,,,,,
St. Clair,42,,,,,
Summer Hill,60,,,,,
Troy Hill ,360,,,,,
West End ,233,,,,,
Windgap ,94,,,,,
