,INCIDENTNEIGHBORHOOD
South Side Flats,482
Central Business District,369
East Allegheny,293
Carrick,248
East Liberty,197
Sheraden,195
Homewood South,184
Bluff,170
Brookline,161
Hazelwood,154
Marshall-Shadeland,153
Knoxville,153
North Shore,146
Homewood North,143
Beechview,142
Brighton Heights,138
Allegheny Center,129
Crawford-Roberts,128
Mount Washington,125
Middle Hill,122
Lincoln-Lemington-Belmar,122
Allentown,119
Bloomfield,113
East Hills,112
Central North Side,110
Perry South,110
Fineview,105
Elliott,94
Shadyside,93
Homewood West,88
Central Oakland,88
Larimer,85
Golden Triangle/Civic Arena,83
South Side Slopes,83
Garfield,81
Squirrel Hill South,80
Perry North,72
Spring Hill-City View,72
Crafton Heights,71
Greenfield,68
Northview Heights,67
Highland Park,65
Bedford Dwellings,61
Chateau,58
Beltzhoover,58
West Oakland,56
Central Lawrenceville,55
Strip District,54
Outside City,45
Troy Hill,44
Banksville,42
Terrace Village,40
North Oakland,40
Upper Hill,38
South Oakland,38
Point Breeze North,37
South Shore,37
Arlington,34
Manchester,34
Lower Lawrenceville,34
Westwood,32
Overbrook,32
West End,30
Point Breeze,30
Upper Lawrenceville,29
Spring Garden,27
Stanton Heights,25
California-Kirkbride,25
Morningside,25
Central Northside,23
Mount Oliver,22
Bon Air,22
Friendship,22
Esplen,21
Polish Hill,19
Fairywood,17
Lincoln Place,17
Squirrel Hill North,17
Glen Hazel,16
Windgap,16
Arlington Heights,16
Duquesne Heights,15
Hays,14
Allegheny West,13
Outside County,13
Summer Hill,10
Regent Square,9
East Carnegie,8
Oakwood,8
Troy Hill-Herrs Island,6
St. Clair,5
Outside State,5
Chartiers City,5
Ridgemont,4
New Homestead,3
Swisshelm Park,3
Mt. Oliver Neighborhood,2
